id,monthly_income,monthly_savings,travel_expense,commute_expense,personal_expense,educational_expense,seasonal_expense,monthly_loans,goal,improvement,policies
384,263723,42794,52178,56355,65674,34532,21640,31858,9860372,seasonal,list3
385,195440,25217,98837,80713,7816,13284,57073,75777,7193372,commute,list5
386,484778,28340,98062,4317,77999,72851,23593,41544,8281234,educational,list2
387,489297,18431,75039,19967,54214,47641,84330,87912,3195363,commute,list7
388,137689,15311,9776,57553,60486,17767,13786,90759,5892589,personal,list1
389,256982,49513,19129,19008,17790,48300,99796,15329,9741214,seasonal,list7
390,337406,14736,21895,5116,93337,44920,62646,159,3189566,educational,list5
391,84153,22427,64621,90618,50200,32213,9610,28197,4237752,seasonal,list1
392,481962,84548,2299,8966,9995,57781,86008,72492,6667895,travel,list7
393,34852,543,32394,44309,98650,77290,76128,38593,571149,commute,list1
394,155353,92145,2339,76956,19187,65754,17327,4721,5638587,educational,list4
395,86183,78254,18057,55917,76756,78581,76711,79747,6449625,commute,list5
396,476216,87220,60395,62007,14983,35341,58782,37496,1974261,educational,list5
397,486750,71767,66516,33975,55365,88749,6155,13657,3351890,commute,list4
398,426859,11215,83182,75995,19232,29168,87806,31246,7208332,seasonal,list2
399,89581,74041,90631,36128,24409,19078,6165,20711,8837008,travel,list5
400,15769,88361,84335,49812,95677,4590,55429,30599,5414761,travel,list4
401,377923,56882,83652,45877,78445,75806,76991,79593,1906218,educational,list7
402,337945,54167,33142,21701,24624,142,85973,19731,1398669,personal,list7
403,281329,19728,89523,10133,72563,57843,97319,2706,3543416,travel,list7
404,313741,34915,42543,29620,10999,95928,67949,3345,2173025,personal,list5
405,306712,4042,17560,92871,80384,4762,29462,73378,7405167,seasonal,list3
406,378694,89110,52637,23902,82161,45757,12000,35277,1831019,educational,list7
407,326118,76685,34243,27927,70412,29455,40000,17480,7553429,commute,list1
408,273139,86253,82532,97822,24016,77244,18240,17197,8727530,seasonal,list1
409,405269,10916,26885,5358,91013,28062,75437,64507,4248461,commute,list6
410,79679,79589,718,59924,19127,35334,8165,66471,6911078,commute,list1
411,133244,98848,4463,40305,51056,35632,39437,1806,6320896,commute,list5
412,35903,64026,2066,31802,44912,88246,560,79737,4410043,travel,list4
413,75698,6129,59184,41842,60757,76124,95361,51247,9053298,seasonal,list1
414,9585,4433,56435,83298,15686,8132,18258,69100,5993786,seasonal,list4
415,35158,56966,73183,90490,3153,89841,61053,49897,6147309,educational,list1
416,459506,79456,10099,28854,57358,3725,35484,6800,5901856,commute,list5
417,230337,87681,83339,94446,70269,63641,75792,2249,9188459,travel,list4
418,28580,64116,47471,27491,28565,86581,69055,58470,894628,seasonal,list6
419,304116,28841,36999,45158,73115,21745,24375,44449,3027863,travel,list6
420,285150,93735,30551,90281,98188,91625,99598,69057,3493322,educational,list7
421,447734,31571,2175,9661,60626,43714,39270,18789,249012,travel,list1
422,369294,42045,15506,22512,36005,88722,36581,68057,3075566,seasonal,list2
423,103896,90720,50840,76501,95367,60897,86728,67933,9783085,commute,list1
424,369370,75281,74734,53675,46919,23901,98802,84108,8113867,educational,list5
425,50367,3065,88316,62349,90762,61329,50159,80292,3205990,seasonal,list5
426,220371,30157,57944,66838,96539,56742,77553,47237,3673120,educational,list1
427,182554,44960,62536,62651,55834,78705,63955,65516,2104324,seasonal,list5
428,426104,56050,45794,545,30880,14275,7082,5672,7764884,commute,list6
429,473496,81843,3363,67180,64447,59236,87689,71757,4956791,commute,list3
430,415475,13759,1783,34412,93808,57290,90503,97882,2842361,travel,list7
431,422484,63746,92552,25560,52120,26216,33838,52407,9651085,personal,list5
432,149759,57597,35578,69897,2034,87233,34715,29532,915488,personal,list4
433,149221,4636,81271,85272,2305,66109,46383,62233,9621914,seasonal,list3
434,101560,3899,70202,8678,85235,14432,63820,24055,4717496,educational,list4
435,127946,89728,65208,6322,54024,46733,90909,32885,2604837,commute,list3
436,112344,55757,59136,98259,61258,9583,82928,79962,7904989,personal,list3
437,107418,24687,58385,60712,64882,17713,60889,39357,1034959,commute,list6
438,310396,88490,34657,56125,32449,28999,96261,34929,4751828,commute,list6
439,110504,37935,81162,49803,86128,84384,69669,79652,1486948,personal,list5
440,286394,35648,41952,2899,85001,56803,86109,63574,3017732,seasonal,list3
441,200318,30525,70675,27252,8548,88839,63113,87467,7300224,personal,list7
442,21173,95526,43659,9293,93345,50008,50120,93447,6190666,seasonal,list4
443,370171,68406,90533,61630,78216,93586,38947,88290,4868879,seasonal,list5
444,128236,83538,87799,57769,7459,33563,27998,36227,9292240,seasonal,list4
445,365607,25017,12002,68295,21772,17245,62982,9394,594768,travel,list3
446,155012,80448,59085,77260,49779,4222,15687,79575,8687391,educational,list5
447,57176,72551,25856,88868,14571,74310,82967,86749,8766297,commute,list3
448,441399,49321,62669,24855,38057,73341,49792,97071,8080532,seasonal,list3
449,425231,60185,57945,74053,93112,8718,24966,55171,3918176,personal,list4
450,167148,32524,57985,66808,62406,972,715,83033,2400361,educational,list1
451,9743,47986,14860,72055,24990,25262,9342,72250,1491539,personal,list7
452,438324,72527,44101,15115,91219,6233,44834,66360,1962725,personal,list1
453,139181,2448,97454,12324,68132,25595,46212,72689,9958602,seasonal,list1
454,478686,92656,62351,54252,63584,16178,29577,95238,3034121,travel,list3
455,90699,56929,81048,78898,58746,59200,43791,96495,6274680,personal,list4
456,42863,25722,43530,27764,42423,60419,65836,12402,712604,personal,list4
457,448519,76724,76124,14132,41705,76242,42671,2170,2273839,personal,list3
458,82378,24240,50891,42774,81346,68387,30978,28855,7942812,commute,list1
459,485931,92011,57184,90646,95758,94520,24132,42403,6330937,commute,list5
460,458645,92770,99606,2938,19923,45277,53509,96943,2601653,personal,list7
461,45938,35393,81548,32321,61147,59452,2377,68098,2322504,personal,list2
462,74132,17170,50195,66645,86312,14134,31706,64173,2170439,seasonal,list4
463,303712,67903,31112,79667,63298,79336,45105,54665,8462423,commute,list5
464,326042,47979,14849,15081,47155,52384,28508,63349,7777245,commute,list6
465,255123,77912,26100,38996,56652,67204,68377,85147,3780631,travel,list2
466,186326,278,82426,59643,94194,31865,55781,75343,3564336,personal,list4
467,307132,25392,96949,28667,36378,62640,97268,58469,8340282,travel,list7
468,281071,993,3656,92186,61068,81787,56590,6143,6522446,seasonal,list5
469,288992,56805,47169,97322,63866,10574,72450,3620,6312219,commute,list4
470,329864,64735,42249,54251,90966,71009,42275,31766,7358714,seasonal,list7
471,17991,32093,49149,42916,79155,33847,48297,69675,7457779,commute,list5
472,259048,33386,64186,2819,2030,77909,59787,60815,1875332,personal,list6
473,89668,79172,88919,86336,61672,91886,13282,98337,8211601,commute,list4
474,98053,53668,33608,99871,10626,80440,3335,737,1651978,educational,list2
475,171811,8371,45791,74515,50368,13557,97573,65025,3311723,seasonal,list3
476,378537,64509,88891,6553,75089,50690,55504,69353,2961157,educational,list3
477,382654,85743,47715,86578,30755,12839,39468,83997,1676195,commute,list5
478,486113,8367,26722,56178,34657,81319,78444,53250,1762699,personal,list3
479,465915,92204,93170,78092,77777,90238,67565,3157,3422813,commute,list7
480,437362,798,50174,96820,16779,99804,81482,48282,727118,travel,list3
481,58359,99870,97944,29037,32234,40622,13163,51830,3505263,educational,list3
482,405799,20163,56986,88801,88239,86189,22298,6176,8962778,travel,list1
483,304876,93697,25110,2026,86081,53878,50003,81479,6986152,personal,list2
484,172362,30243,86500,25975,75324,45170,74309,33033,9022982,personal,list5
485,35088,78685,20985,36338,12210,74036,53446,3220,3421587,seasonal,list2
486,352457,10224,76101,27396,94190,49776,71114,34655,8123488,educational,list6
487,201809,77485,97158,81993,32154,44380,36004,77754,361903,travel,list1
488,456594,86751,28498,8355,53383,88213,2367,53577,7229886,commute,list3
489,278995,86218,99493,42925,56946,71611,99751,32221,9227846,educational,list5
490,264497,72505,66317,67610,28976,61587,13431,39268,3499509,commute,list6
491,431318,10374,45313,13169,55628,24865,52546,92024,6530392,educational,list5
492,309010,4086,79848,51648,70987,93733,52921,77292,4139986,commute,list1
493,168446,91630,43365,55896,80354,89875,58769,37812,6963021,educational,list5
494,290995,6082,36433,88941,15873,2140,59998,72401,5856709,commute,list2
495,264394,42632,49052,82557,44709,50536,96797,22532,2181786,commute,list2
496,320677,94148,11124,21328,11548,73546,74537,2202,1130214,travel,list3
497,459371,24866,18510,64620,58820,96524,34283,98678,1970704,travel,list4
498,16195,6078,58727,32951,74486,68893,52616,31756,7062156,seasonal,list3
499,31037,20331,30970,88871,66441,42001,67456,49148,6996407,seasonal,list5
500,155471,34636,33182,35002,24537,75511,367,91551,4126511,seasonal,list4
501,392446,46494,1937,69164,28809,75081,36413,74898,5559905,travel,list3
502,280079,33557,14970,70861,51941,76009,26326,66820,4792733,personal,list4
503,19850,30987,56306,41854,70314,93408,99700,90832,5240957,educational,list7
504,322911,25730,88219,21722,89475,70064,84841,40604,4143052,educational,list2
505,330593,99630,92123,99893,26651,88979,85061,20198,347792,seasonal,list6
506,195359,29560,35118,16069,15252,85260,14225,42452,9505211,personal,list6
507,127229,64772,61860,7879,26446,1784,81879,34676,7100840,commute,list3
508,458822,9722,58718,21505,18908,57075,80148,43852,8878571,commute,list1
509,289694,50281,97267,95636,34265,92937,51888,55884,8431185,seasonal,list1
510,446719,45814,11415,70825,45671,85168,56452,639,9525046,seasonal,list2
511,168352,65988,42352,40318,4726,57954,2334,77557,69872,personal,list6
512,171032,59148,79442,63252,7082,47652,54647,83393,4880110,seasonal,list2
513,436366,78166,88474,39547,14716,64065,36923,89355,7432589,seasonal,list1
514,474319,23727,92258,32690,56707,37508,71607,5141,8426250,seasonal,list6
515,100328,5268,47279,52810,11251,40326,7296,4275,701358,personal,list1
516,116295,11716,71658,67851,63481,99138,31875,46602,8307535,educational,list4
517,155378,17893,52434,86523,5655,15880,36218,81743,2582836,personal,list5
518,424367,96013,71062,6037,98747,66760,95443,66035,4989714,commute,list3
519,72198,3598,13900,66865,35739,83351,51276,3348,851582,personal,list4
520,195909,24747,53829,10254,81427,41694,89205,41888,1908712,seasonal,list3
521,29122,11395,53091,91532,84212,98940,81356,35997,7926812,seasonal,list5
522,262538,58901,74018,81906,77478,36735,5461,12789,9774416,educational,list6
523,9231,72861,88102,86537,4578,10861,498,53199,5644784,commute,list3
524,178508,71546,67692,29070,50705,29170,73555,66557,3098162,seasonal,list7
525,404622,75300,48119,39700,28891,46259,27152,73720,9318077,seasonal,list4
526,124598,90243,23142,44763,50284,84742,1872,57037,8583551,seasonal,list1
527,93346,6003,63143,56333,35595,99942,56585,9549,3695835,commute,list6
528,180936,44936,25072,1423,70855,43629,57725,20822,1038059,commute,list2
529,225991,76450,60329,78404,2307,9273,86665,24474,7507367,personal,list2
530,467850,87815,23550,79681,57463,60348,94881,11516,6732762,commute,list1
531,286619,73526,36107,91172,38250,63102,67274,74100,6030319,seasonal,list7
532,368540,91003,92076,16160,48380,6337,69227,89585,299657,personal,list4
533,344839,27479,77405,59267,75081,82610,66430,59825,3976096,educational,list6
534,470534,24722,42898,59463,47831,47989,54456,36680,2620346,commute,list1
535,324928,73440,1772,68513,19098,3173,26446,32354,421149,seasonal,list7
536,477834,60302,85524,54785,41177,65387,44232,69801,6050490,travel,list7
537,42729,70258,42865,4221,2785,55550,15239,93317,293092,seasonal,list1
538,263676,28545,96400,97469,57498,41027,37047,75411,791610,seasonal,list3
539,298342,4230,86296,159,59009,80321,65765,81654,3138212,commute,list2
540,318364,81437,55126,33014,66731,77918,64097,32036,9159352,commute,list7
541,444853,25516,20592,49054,37725,12045,36357,40578,1881306,commute,list6
542,122735,61269,12108,53814,50809,38627,57322,70394,3913292,commute,list2
543,255519,19326,37312,88424,37095,20380,19601,58156,254651,commute,list2
544,398627,52414,55747,89759,71065,91078,61455,57168,7254056,travel,list5
545,342101,45819,57843,30542,85107,96967,54343,75335,7734545,commute,list2
546,140790,2757,84528,93911,90839,12848,94533,37656,4721092,commute,list5
547,217956,47861,47103,77097,65541,52072,80729,54551,5286287,personal,list4
548,441078,75126,16398,71304,59919,24022,45437,90934,9836633,educational,list6
549,115915,80677,15222,38923,79952,4567,57300,17911,5979249,personal,list4
550,263634,48794,21317,56235,94286,12216,84713,60125,8782723,travel,list1
551,440754,52927,25916,60318,70149,22025,32327,88354,2262529,commute,list1
552,380439,55745,11802,8587,71301,44484,76749,10443,3951807,seasonal,list7
553,366740,17468,37670,81343,97625,43875,47768,81093,3486482,seasonal,list3
554,496906,48814,52620,44175,36108,81847,92193,56506,9283354,seasonal,list3
555,95038,85856,19383,51336,22477,98246,78410,41172,7664860,seasonal,list3
556,8839,16606,55432,4320,31990,29587,26589,15100,4836392,personal,list7
557,390801,33747,36109,17416,15621,60685,85790,34564,2912369,seasonal,list4
558,266195,4207,15123,24743,4568,82081,42012,21134,9063138,seasonal,list5
559,128568,36927,74386,14426,96081,52876,36041,48286,7621161,personal,list4
560,144040,78089,34098,49237,49666,31091,98376,77403,6005141,educational,list1
561,197078,91974,67032,74866,23383,3794,21166,44021,2117585,seasonal,list2
562,483152,1161,16407,78767,63825,20890,35827,79670,5540287,seasonal,list7
563,104438,25975,92479,35672,99452,56526,4170,2087,4137018,educational,list6
564,297597,59460,48478,24760,88355,70041,44225,13546,2266526,seasonal,list6
565,438321,65694,94776,79736,19106,8360,78434,64285,2621381,travel,list2
566,264049,93388,98243,67931,41877,20564,61066,52544,5227054,personal,list4
567,382014,93199,62701,27594,66024,11671,89541,12195,4452058,travel,list7
568,319002,48853,59198,37219,7577,67272,69235,14445,173736,personal,list1
569,388800,66475,10764,53271,79241,8238,43489,99929,9267866,travel,list4
570,356739,90986,56171,69935,34504,45093,10391,57145,1788049,seasonal,list7
571,499740,88934,70400,65175,47686,42313,23551,5185,9770868,commute,list3
572,55006,8964,18525,81490,32657,43647,5477,29317,6040069,personal,list2
573,145934,46670,75289,11240,87496,44032,93152,67912,3486814,seasonal,list1
574,414055,31489,10155,53252,8513,11965,98490,66850,4514114,personal,list2
575,227722,69574,43552,67955,59612,1539,52442,74476,6345394,commute,list2
576,79592,28947,56009,59265,98397,60592,28270,21364,5467652,personal,list7
577,322572,24005,20001,74690,76217,66408,4365,12546,4554612,personal,list4
578,432277,75329,37071,94603,25022,7753,70467,33848,2651659,personal,list1
579,264383,46295,97830,96164,42415,99496,33964,88506,9350483,personal,list2
580,51658,49575,14158,63391,65752,1984,94808,65860,2833048,personal,list4
581,71994,21797,47150,92578,12484,53553,86,89277,3964290,travel,list2
582,125432,4235,61740,48472,32300,43690,50393,62619,5287788,personal,list4
583,494932,51520,60980,97975,57828,39892,7600,41174,1811074,seasonal,list7
584,246032,43038,52842,99622,70406,51521,86103,31888,5154448,seasonal,list5
585,89109,67087,80857,49736,39940,4147,85812,33898,3835803,personal,list1
586,406964,68275,35141,47882,70362,39311,1933,6886,8219340,educational,list2
587,158624,58293,71051,49103,72869,86015,55549,34523,1959825,commute,list3
588,28824,20293,74314,42250,61209,42238,59861,30764,206002,commute,list6
589,124470,57617,27246,93974,58798,5768,52374,31570,7368985,commute,list2
590,214940,86592,28465,42733,20325,55357,57379,80924,5523038,commute,list2
591,427950,40390,94694,5504,27260,55466,37498,56742,3660898,personal,list5
592,301953,22765,47689,58898,18628,24692,68056,9092,2402680,travel,list4
593,458075,22210,66203,75806,83072,36950,79707,67419,1929982,educational,list7
594,184214,23154,44421,3759,34749,91174,29349,21819,2046304,seasonal,list5
595,369764,37967,9567,4915,95223,65351,62409,44545,1290677,commute,list5
596,108729,72129,63916,28869,41595,10053,23753,69656,2312952,travel,list4
597,90116,20816,7027,36492,18659,95226,5762,39436,9039439,seasonal,list4
598,378380,79917,30510,40744,72218,24123,49548,35374,3625264,educational,list4
599,197122,97230,34718,45377,83179,33434,7202,34821,9298065,travel,list2
600,226684,85672,85826,40580,65092,98285,78356,48016,7594794,seasonal,list5
601,257972,42974,24084,18333,92007,67140,41752,91291,5740734,educational,list5
602,51177,49411,3519,54517,30149,77120,46680,79393,1617766,commute,list7
603,61014,1649,57377,4706,20863,58048,43460,64268,1857909,seasonal,list5
604,213555,20835,31337,11823,27717,14175,14814,25555,5643773,educational,list4
605,243373,97847,5155,15415,88375,3178,12827,90696,2231120,commute,list2
606,433877,62603,45424,49333,18754,61519,60381,14557,8654840,educational,list1
607,210003,14081,51304,68120,35502,28597,36721,43421,5093677,commute,list7
608,32325,51921,69117,40728,12663,81877,49358,9694,6554230,personal,list5
609,355386,154,21324,70664,40752,99660,58608,71330,3959365,seasonal,list3
610,375184,31087,67885,83504,9030,65126,66423,25109,3583507,commute,list6
611,183775,86614,73457,73085,74631,92475,94045,88971,3814181,seasonal,list1
612,96739,33958,2383,29724,93248,98922,1282,25849,2829967,personal,list6
613,317202,15738,76196,64618,22723,45995,61675,88299,1945329,educational,list7
614,329925,57671,68685,64718,9339,27015,52174,81953,7295399,seasonal,list7
615,162351,4537,58696,66,37136,73134,52413,6574,5859088,travel,list4
616,179379,26861,8654,47657,33169,76125,74321,15312,8295735,commute,list2
617,85238,37651,89645,12402,7028,13964,78410,12944,7824587,commute,list6
618,68769,70501,35876,27051,91115,3331,31849,96115,5142486,educational,list3
619,204714,31109,62183,83565,33816,82605,3467,13223,1263998,commute,list7
620,344824,6331,26080,29297,50558,57058,7168,54816,9270896,travel,list1
621,353798,17750,87115,95169,52716,77579,49928,70537,6201246,seasonal,list2
622,118868,79155,76688,16990,90389,75935,64876,3869,2968269,commute,list2
623,26696,70386,51229,14748,75246,20691,82796,1740,5950657,commute,list7
624,82896,22062,87857,67409,18161,92710,49091,5232,940079,educational,list3
625,68297,30756,67719,84890,57166,8370,27573,37544,3773734,travel,list6
626,493096,69860,1041,37310,66012,99824,14422,66054,5848402,travel,list1
627,58583,94531,14363,12084,18409,99765,73561,9209,5168529,travel,list6
628,111513,3938,83352,48168,43860,19973,47557,69467,8927378,seasonal,list4
629,399014,75399,74077,49687,72036,10976,97518,2566,8141879,personal,list5
630,256231,41000,72287,41058,47095,94254,12943,44015,7886337,commute,list4
631,465710,75917,50003,56657,70402,58664,29358,33854,3267544,educational,list2
632,487631,8217,62080,28091,45345,19989,72014,87380,3319560,commute,list3
633,415542,99410,13575,77412,42551,55344,75115,74431,9871855,commute,list6
634,465610,56908,86897,54805,24848,34021,6384,24904,8372540,seasonal,list3
635,445938,88788,3749,66378,30402,53770,36052,31908,9416491,travel,list1
636,191396,97977,17648,5611,43095,16578,27099,80857,5451333,personal,list6
637,98864,97270,13542,33435,27095,299,73665,31291,6166038,travel,list3
638,243063,27728,3478,6669,21931,19920,37779,65188,4560575,educational,list5
639,79221,40173,58390,96678,5211,93538,37556,68476,3715585,educational,list7
640,345453,59292,39605,99861,9256,87109,35922,33670,781752,educational,list6
641,150665,30862,76006,75141,7125,93796,55600,90690,4843279,seasonal,list3
642,48826,16865,56569,27972,57795,4530,70520,17896,3314844,seasonal,list7
643,486697,33730,59490,42374,80731,51963,88848,10181,1885435,educational,list6
644,432918,11929,28194,44967,30628,14429,61671,55526,9106260,travel,list2
645,447140,53447,68629,62105,30031,2767,73541,93356,702985,commute,list1
646,381680,40382,37598,37624,27130,82127,33739,24940,7804936,personal,list3
647,155860,32381,5118,145,55345,33155,91084,36388,9152001,seasonal,list1
648,405083,75996,46075,79258,68118,46761,61491,43952,5861361,travel,list2
649,143365,94093,30266,61245,4155,46899,61722,22183,3960039,personal,list6
650,40894,74436,82680,20431,93920,24153,13899,26036,2326632,travel,list7
651,75204,91962,73006,93939,91934,4137,11976,27788,1865205,seasonal,list2
652,170666,75281,80718,32827,55191,76393,34098,76038,3774119,commute,list1
653,106716,66648,2481,57542,93958,36448,53025,71369,7391007,travel,list5
654,157382,95380,41832,28510,90736,47605,82835,54379,3815221,seasonal,list7
655,461377,37565,2115,39260,82270,73050,35221,45695,6361766,commute,list3
656,366564,37415,24087,76395,48863,19659,38374,71823,5835846,educational,list3
657,326211,596,19632,59369,58375,83739,68182,48738,6821765,travel,list1
658,288452,59139,61807,58703,10907,32238,47605,78977,5447415,personal,list3
659,479692,73768,42005,95294,77151,42936,80605,25880,8701032,educational,list7
660,372196,82874,94735,98305,25508,26120,11910,99192,8953559,educational,list6
661,354264,38380,7931,75383,43927,3073,31002,48151,3372103,travel,list7
662,420360,3706,97522,83547,94284,44377,44592,99959,6217574,personal,list6
663,309685,23689,72450,42616,85252,70739,86571,82822,9086552,travel,list4
664,154184,88795,70186,78475,73574,65924,76750,61251,7298510,personal,list6
665,291777,98668,82070,7462,78856,34660,87340,20001,7971730,seasonal,list5
666,300464,49227,89900,77030,87026,98968,22094,85661,8575797,seasonal,list4
667,337224,95495,94237,72654,72954,80426,16915,75952,5384992,travel,list1
668,277763,40861,44640,30184,8876,15517,50264,74315,1969475,seasonal,list3
669,22980,52578,74944,11644,47067,96648,92284,83793,6994176,seasonal,list2
670,38603,96110,33030,9978,94092,1223,28075,52431,8882416,educational,list3
671,395328,93558,36297,20278,43415,46979,82396,26644,3816505,commute,list6
672,152579,52846,39452,17281,7035,59679,14091,70773,6953139,seasonal,list7
673,130429,49423,89834,260,4233,42559,56255,291,3856356,seasonal,list2
674,487804,17113,74839,12614,81142,52127,18461,34455,7841329,commute,list2
675,184154,57668,40701,97195,19742,3259,64602,97941,9517988,personal,list2
676,465601,57953,11913,82527,40972,31100,68202,24059,2117880,educational,list6
677,408136,22304,10685,2047,36615,80896,50107,98287,991934,personal,list3
678,20408,9413,42899,68395,37718,6126,93640,73146,4347792,personal,list1
679,446054,66971,25786,27169,70609,83760,51320,15023,9871963,personal,list4
680,482091,89040,46691,15226,24793,54365,28372,30040,5921529,educational,list5
681,344400,97632,41466,85699,79393,2075,80905,14649,5916887,personal,list6
682,37608,17725,62326,98441,70203,53346,50503,2328,1078953,personal,list7
683,262800,64103,37585,63926,93891,51681,69977,53665,6641399,travel,list6
684,288350,51513,10151,51946,2010,93831,79036,56025,5482794,educational,list5
685,227383,74540,64146,54939,32219,47722,36537,799,8431254,educational,list5
686,339385,21069,96226,4958,7607,15279,32527,91192,698103,travel,list2
687,279748,5581,40138,29572,38170,75207,2747,50733,7503143,seasonal,list1
688,228015,62946,78044,66076,19887,33723,71157,34391,9912710,educational,list2
689,111856,11281,24626,59604,7,80979,58879,2272,3077960,seasonal,list1
690,244433,75465,87178,17693,76351,47733,26196,70389,2074701,commute,list5
691,454402,47930,10611,23345,64318,11251,20289,37922,7108556,seasonal,list6
692,243982,72907,45375,3299,93919,66768,38759,49533,4137405,seasonal,list1
693,405241,19440,77973,63130,40066,75214,93267,56207,1875981,educational,list1
694,241007,3312,91544,41678,97840,5440,87467,38412,9568429,personal,list7
695,147711,7631,32622,65469,26362,32515,2723,3942,2237600,personal,list2
696,24955,42327,44794,62998,83944,93276,64444,64558,7579665,personal,list4
697,183668,80103,70534,44879,74842,19072,32897,31340,6616596,personal,list4
698,13459,84455,7905,96394,75905,38622,75502,40884,7284961,seasonal,list7
699,234271,69451,60285,2399,98241,67901,41044,13428,1886883,seasonal,list7
700,72531,49481,58074,48136,33679,14913,66712,86056,4784030,travel,list6
701,399961,68588,23165,1638,61980,82288,13383,79365,957427,personal,list6
702,40139,76870,85359,54489,29322,17700,17123,17494,7921049,commute,list6
703,275512,28998,80033,32504,9320,98529,32319,92512,5827015,personal,list7
704,469480,24697,950,35539,73951,27860,47983,35321,153703,seasonal,list2
705,176495,52064,82483,51723,5022,75923,57711,71789,91303,travel,list6
706,354251,5434,20592,9078,63853,55464,80166,32840,7531869,personal,list1
707,41447,74997,19633,39504,10105,6721,64122,85847,1189990,personal,list5
708,237120,51964,77507,79474,48895,52681,90853,44986,1789726,commute,list3
709,421670,32627,89156,86075,96093,67484,47796,3038,8560472,educational,list4
710,236401,25509,48835,34180,70789,69172,68998,95607,8467921,educational,list6
711,163917,60621,42049,38081,44317,47109,17853,96402,1726188,seasonal,list6
712,169146,72237,27338,14161,82840,37802,87826,45786,5501526,seasonal,list3
713,254440,68491,80615,86296,24671,10243,9613,3362,9900625,personal,list1
714,358092,67836,85817,58466,67691,8762,81173,55503,6420770,seasonal,list3
715,112610,7986,512,81702,4667,50824,64154,63346,6374530,personal,list1
716,403409,76313,86474,2574,23633,29483,12864,61069,7467166,personal,list1
717,244973,5406,96696,33580,90579,41091,98273,79843,7371735,travel,list4
718,318922,13140,33112,5994,78285,43446,93982,89580,1317762,seasonal,list5
719,55698,28193,56946,93009,27567,14510,96719,33316,6396591,seasonal,list2
720,459582,94537,21671,40311,90593,73291,11913,74507,2772472,commute,list3
721,287708,28377,19039,47408,97604,82913,79669,50940,6329745,commute,list1
722,430061,55903,56680,27888,22837,90909,25099,77440,2393582,commute,list6
723,447042,82160,86263,84631,76027,46506,57300,13714,8298344,educational,list1
724,364417,50004,68802,5639,32622,64925,41275,66154,7582797,seasonal,list3
725,497072,28264,4702,55121,58339,45544,73284,79657,8066740,travel,list2
726,377105,90947,65695,44775,31411,16214,78859,56648,1113977,travel,list1
727,188144,97830,49725,74543,26253,95778,10339,79401,2872321,personal,list6
728,128093,72497,70132,44057,23584,99309,28947,32128,2900182,educational,list5
729,411449,51751,81215,41697,91754,85134,4132,55505,7926438,educational,list5
730,36313,33561,22212,99794,95965,31468,34388,49955,3591937,seasonal,list2
731,100725,85669,30384,19433,85858,16569,29101,71040,5483058,travel,list2
732,96465,37045,37707,45994,61732,17247,89857,4276,9834757,personal,list1
733,238274,13527,58208,33055,29179,23811,35028,47377,333264,travel,list6
734,368130,17111,18710,77788,33613,11469,53811,21649,8451971,personal,list7
735,48021,95612,98933,10551,96180,91492,52770,68633,6306854,commute,list7
736,446664,23807,86318,45701,21633,16492,51106,26516,5528203,commute,list3
737,443735,5167,70915,70876,16511,54712,73314,693,6517494,commute,list2
738,468642,69245,66037,49020,66475,21837,99137,48181,7692076,personal,list6
739,381924,60798,61020,69188,15328,19828,96803,75179,5584404,commute,list1
740,316843,754,23696,74848,45295,57164,66383,31128,5676623,travel,list4
741,105450,68589,30030,268,21763,611,44129,31410,4308334,travel,list7
742,213640,92696,81788,34859,55922,77996,80150,56593,334560,seasonal,list2
743,458050,25416,28843,29148,78634,7321,71616,7746,2856616,travel,list2
744,253727,42038,10537,6556,26147,63351,29380,82632,44664,travel,list4
745,465142,96073,83523,9352,87171,65016,44824,55147,5717854,educational,list6
746,135040,60608,2009,96649,77947,28022,2335,50926,5392155,educational,list5
747,486246,23067,23176,10388,72580,42474,10832,174,2691252,commute,list2
748,209807,62036,78794,26451,24180,67527,26792,69226,1068732,seasonal,list2
749,352868,5743,98407,83620,73945,90011,20957,89426,4009718,personal,list7
750,433055,72787,42306,24543,81584,73259,15403,84949,3012968,commute,list2
751,229985,1694,54355,16478,70452,88183,24347,35294,5281678,personal,list5
752,475232,53768,20047,67721,60338,77881,41493,54208,4758121,travel,list7
753,398124,41424,98185,3186,18358,57184,25978,17118,1371979,commute,list6
754,387900,33833,16761,15284,74830,12429,67525,1982,4270913,travel,list6
755,314043,74351,38559,83353,85712,32236,17482,89495,1064499,travel,list3
756,486381,56073,809,87879,59941,84438,78910,2339,45188,travel,list6
757,123385,12240,16925,64620,2180,2854,37847,88880,9718653,commute,list4
758,437922,7880,42236,7454,44697,36648,24613,12805,24032,educational,list5
759,271546,30956,16790,50589,27025,93029,44437,66220,1514033,seasonal,list4
760,202083,93080,56475,23445,38680,75065,45088,32279,1434194,educational,list3
761,247172,5806,3136,81432,99293,73685,79318,92084,5107428,travel,list1
762,89999,84396,16718,65108,37705,76274,22145,19680,7178526,travel,list4
763,88145,33960,17893,28562,24342,77780,10745,81766,1185024,seasonal,list7
764,147935,90399,81594,76377,64150,381,63511,12514,6158741,travel,list2
765,4577,91258,53326,80370,9365,9163,22896,97632,6826509,personal,list1
766,110498,74449,72856,73501,96395,469,91176,75451,3011620,seasonal,list6
